animal,energie,faim,nourriture,predateurs,pret_reproduction,partenaire_proche,action,time,id_unique
lion,69.84333789071943,52.420000000000066,0,0,0,0,chasser,22,lion_22
lapin,48.99359289071937,92.41999999999992,0,0,0,0,explorer,22,lapin_22
lapin,37.99453789071937,87.41999999999992,0,0,0,0,explorer,22,lapin_22
lion,82.80648289071937,76.41999999999992,0,0,0,0,chasser,22,lion_22
ours,59.6439428907194,90.41999999999992,0,0,0,0,chasser,22,ours_22
ours,85.67229289071945,72.41999999999992,0,0,0,0,chasser,22,ours_22
lion,82.84428289071943,71.41999999999992,0,0,0,0,chasser,22,lion_22
lion,98.84144789071942,77.41999999999992,0,0,0,0,chasser,22,lion_22
ours,74.43226289071936,77.41999999999992,0,0,0,0,chasser,22,ours_22
lion,74.8310528907194,76.41999999999992,0,0,0,0,chasser,22,lion_22
lion,77.76112289071929,52.420000000000066,0,0,0,0,chasser,22,lion_22
lion,99.80270289071936,79.41999999999992,0,0,0,0,chasser,22,lion_22
lion,85.76017789071929,76.41999999999992,0,0,0,0,chasser,22,lion_22
lapin,50.99359289071937,74.41999999999992,0,0,0,0,explorer,22,lapin_22
lion,75.7686828907193,54.420000000000066,0,0,0,0,chasser,22,lion_22
ours,67.68741289071947,90.41999999999992,0,0,0,0,chasser,22,ours_22
lapin,39.99359289071937,80.41999999999992,0,0,0,0,explorer,22,lapin_22
lion,85.79608789071935,70.41999999999992,0,0,0,0,chasser,22,lion_22
lion,70.83672289071941,58.420000000000066,0,0,0,0,chasser,22,lion_22
lion,74.77057289071931,76.41999999999992,0,0,0,0,chasser,22,lion_22
ours,64.74600289071927,78.41999999999992,0,0,0,0,chasser,22,ours_22
ours,66.87074289071947,84.41999999999992,0,0,0,0,chasser,22,ours_22
lapin,47.99359289071937,71.41999999999992,0,0,0,0,explorer,22,lapin_22
ours,80.84239289071942,89.41999999999992,0,0,0,0,chasser,22,ours_22
lapin,54.99548289071937,80.41999999999992,0,0,0,0,explorer,22,lapin_22
ours,59.79136289071934,62.420000000000066,0,0,0,0,chasser,22,ours_22
lapin,38.99725409602259,97.17999999999996,0,0,0,0,explorer,10,lapin_10
lapin,34.99765909602259,90.17999999999996,0,0,0,0,explorer,10,lapin_10
ours,77.77693409602261,73.17999999999996,0,0,0,0,chasser,10,ours_10
lapin,35.99765909602259,73.17999999999996,0,0,0,0,explorer,10,lapin_10
ours,82.8498340960226,89.17999999999996,0,0,0,0,chasser,10,ours_10
ours,85.88020909602253,67.17999999999996,0,0,0,0,chasser,10,ours_10
lapin,52.99765909602259,100.0,0,0,0,0,explorer,10,lapin_10
lion,98.93731409602262,77.17999999999996,0,0,0,0,chasser,10,lion_10
ours,64.79232409602264,64.17999999999996,0,0,0,0,chasser,10,ours_10
lapin,56.99725409602259,98.17999999999996,0,0,0,0,explorer,10,lapin_10
lapin,58.99765909602259,73.17999999999996,0,0,0,0,explorer,10,lapin_10
lion,69.93528909602261,76.17999999999996,0,0,0,0,chasser,10,lion_10
lapin,46.99725409602259,87.17999999999996,0,0,0,0,explorer,10,lapin_10
lapin,32.99806409602259,78.17999999999996,0,0,0,0,explorer,10,lapin_10
lion,85.9263790960226,56.18000000000003,0,0,0,0,chasser,10,lion_10
lapin,34.99725409602259,73.17999999999996,0,0,0,0,explorer,10,lapin_10
lion,71.93407409602261,74.17999999999996,0,0,0,0,chasser,10,lion_10
lapin,42.99765909602259,99.17999999999996,0,0,0,0,explorer,10,lapin_10
ours,60.764379096022594,66.17999999999996,0,0,0,0,chasser,10,ours_10
ours,88.79191909602264,81.17999999999996,0,0,0,0,chasser,10,ours_10
lapin,40.99765909602259,93.17999999999996,0,0,0,0,explorer,10,lapin_10
lapin,56.99765909602259,74.17999999999996,0,0,0,0,explorer,10,lapin_10
ours,75.92111409602259,75.17999999999996,0,0,0,0,chasser,10,ours_10
lion,74.93164409602261,75.17999999999996,0,0,0,0,chasser,10,lion_10
lion,90.91503909602258,50.18000000000003,0,0,0,0,explorer,10,lion_10
lapin,53.99765909602259,76.17999999999996,0,0,0,0,explorer,10,lapin_10
ours,63.8870940960226,72.17999999999996,0,0,0,0,chasser,10,ours_10
lion,84.93447909602261,73.17999999999996,0,0,0,0,chasser,10,lion_10
lapin,56.99725409602259,72.17999999999996,0,0,0,0,explorer,10,lapin_10
lapin,32.99806409602259,70.17999999999996,0,0,0,0,explorer,10,lapin_10
lion,89.75865779027737,76.43999999999991,0,0,0,0,chasser,23,lion_23
lion,91.82993779027748,63.44000000000007,0,0,0,0,chasser,23,lion_23
lion,83.77053779027739,51.44000000000007,0,0,0,0,chasser,23,lion_23
lion,96.8388477902775,65.43999999999991,0,0,0,0,chasser,23,lion_23
lion,69.8358777902775,52.44000000000007,0,0,0,0,chasser,23,lion_23
lapin,48.993287790277435,92.43999999999991,0,0,0,0,explorer,23,lapin_23
lapin,37.99427779027744,87.43999999999991,0,0,0,0,explorer,23,lapin_23
lion,82.79726779027743,76.43999999999991,0,0,0,0,chasser,23,lion_23
ours,59.62698779027747,90.43999999999991,0,0,0,0,chasser,23,ours_23
ours,85.65668779027752,72.43999999999991,0,0,0,0,chasser,23,ours_23
lion,82.8368677902775,71.43999999999991,0,0,0,0,chasser,23,lion_23
lion,98.83389779027749,77.43999999999991,0,0,0,0,chasser,23,lion_23
ours,74.40522779027742,77.43999999999991,0,0,0,0,chasser,23,ours_23
lion,74.82300779027747,76.43999999999991,0,0,0,0,chasser,23,lion_23
lion,77.74974779027735,52.44000000000007,0,0,0,0,chasser,23,lion_23
lion,99.79330779027742,79.43999999999991,0,0,0,0,chasser,23,lion_23
lion,85.74875779027735,76.43999999999991,0,0,0,0,chasser,23,lion_23
lapin,50.993287790277435,74.43999999999991,0,0,0,0,explorer,23,lapin_23
lion,75.75766779027737,54.44000000000007,0,0,0,0,chasser,23,lion_23
ours,67.67252779027754,90.43999999999991,0,0,0,0,chasser,23,ours_23
lapin,39.993287790277435,80.43999999999991,0,0,0,0,explorer,23,lapin_23
lion,85.78637779027741,70.43999999999991,0,0,0,0,chasser,23,lion_23
lion,70.82894779027748,58.44000000000007,0,0,0,0,chasser,23,lion_23
lion,74.75964779027737,76.43999999999991,0,0,0,0,chasser,23,lion_23
ours,64.73390779027733,78.43999999999991,0,0,0,0,chasser,23,ours_23
ours,66.86458779027754,84.43999999999991,0,0,0,0,chasser,23,ours_23
lapin,47.993287790277435,71.43999999999991,0,0,0,0,explorer,23,lapin_23
ours,80.83488779027749,89.43999999999991,0,0,0,0,chasser,23,ours_23
lapin,54.99526779027744,80.43999999999991,0,0,0,0,explorer,23,lapin_23
ours,59.781427790277405,62.44000000000007,0,0,0,0,chasser,23,ours_23
lapin,38.99694899558065,97.19999999999996,0,0,0,0,explorer,11,lapin_11
lapin,34.99739899558065,90.19999999999996,0,0,0,0,explorer,11,lapin_11
ours,77.75214899558068,73.19999999999996,0,0,0,0,chasser,11,ours_11
lapin,35.99739899558065,73.19999999999996,0,0,0,0,explorer,11,lapin_11
ours,82.83314899558067,89.19999999999996,0,0,0,0,chasser,11,ours_11
ours,85.86689899558058,67.19999999999996,0,0,0,0,chasser,11,ours_11
lapin,52.99739899558065,100.0,0,0,0,0,explorer,11,lapin_11
lion,98.93034899558069,77.19999999999996,0,0,0,0,chasser,11,lion_11
ours,64.76924899558071,64.19999999999996,0,0,0,0,chasser,11,ours_11
lapin,56.99694899558065,98.19999999999996,0,0,0,0,explorer,11,lapin_11
lapin,58.99739899558065,73.19999999999996,0,0,0,0,explorer,11,lapin_11
lion,69.92809899558068,76.19999999999996,0,0,0,0,chasser,11,lion_11
lapin,46.99694899558065,87.19999999999996,0,0,0,0,explorer,11,lapin_11
lapin,32.997848995580654,78.19999999999996,0,0,0,0,explorer,11,lapin_11
lion,85.91819899558067,56.20000000000003,0,0,0,0,chasser,11,lion_11
lapin,34.99694899558065,73.19999999999996,0,0,0,0,explorer,11,lapin_11
lion,71.92674899558068,74.19999999999996,0,0,0,0,chasser,11,lion_11
lapin,42.99739899558065,99.19999999999996,0,0,0,0,explorer,11,lapin_11
ours,60.73819899558066,66.19999999999996,0,0,0,0,chasser,11,ours_11
ours,88.76879899558071,81.19999999999996,0,0,0,0,chasser,11,ours_11
lapin,40.99739899558065,93.19999999999996,0,0,0,0,explorer,11,lapin_11
lapin,56.99739899558065,74.19999999999996,0,0,0,0,explorer,11,lapin_11
ours,75.91234899558066,75.19999999999996,0,0,0,0,chasser,11,ours_11
lion,74.92404899558068,75.19999999999996,0,0,0,0,chasser,11,lion_11
lion,90.90559899558065,50.20000000000003,0,0,0,0,explorer,11,lion_11
lapin,53.99739899558065,76.19999999999996,0,0,0,0,explorer,11,lapin_11
ours,63.87454899558067,72.19999999999996,0,0,0,0,chasser,11,ours_11
lion,84.92719899558068,73.19999999999996,0,0,0,0,chasser,11,lion_11
lapin,56.99694899558065,72.19999999999996,0,0,0,0,explorer,11,lapin_11
lapin,32.997848995580654,70.19999999999996,0,0,0,0,explorer,11,lapin_11
lion,89.74768768983543,76.45999999999991,0,0,0,0,chasser,24,lion_24
lion,91.82220768983555,63.46000000000007,0,0,0,0,chasser,24,lion_24
lion,83.76010768983545,51.46000000000007,0,0,0,0,chasser,24,lion_24
lion,96.83152268983557,65.45999999999991,0,0,0,0,chasser,24,lion_24
lion,69.82841768983556,52.46000000000007,0,0,0,0,chasser,24,lion_24
lapin,48.9929826898355,92.45999999999991,0,0,0,0,explorer,24,lapin_24
lapin,37.9940176898355,87.45999999999991,0,0,0,0,explorer,24,lapin_24
lion,82.7880526898355,76.45999999999991,0,0,0,0,chasser,24,lion_24
ours,59.610032689835535,90.45999999999991,0,0,0,0,chasser,24,ours_24
ours,85.64108268983559,72.45999999999991,0,0,0,0,chasser,24,ours_24
lion,82.82945268983556,71.45999999999991,0,0,0,0,chasser,24,lion_24
lion,98.82634768983556,77.45999999999991,0,0,0,0,chasser,24,lion_24
ours,74.37819268983549,77.45999999999991,0,0,0,0,chasser,24,ours_24
lion,74.81496268983554,76.45999999999991,0,0,0,0,chasser,24,lion_24
lion,77.73837268983542,52.46000000000007,0,0,0,0,chasser,24,lion_24
lion,99.78391268983549,79.45999999999991,0,0,0,0,chasser,24,lion_24
lion,85.73733768983541,76.45999999999991,0,0,0,0,chasser,24,lion_24
lapin,50.9929826898355,74.45999999999991,0,0,0,0,explorer,24,lapin_24
lion,75.74665268983543,54.46000000000007,0,0,0,0,chasser,24,lion_24
ours,67.65764268983561,90.45999999999991,0,0,0,0,chasser,24,ours_24
lapin,39.9929826898355,80.45999999999991,0,0,0,0,explorer,24,lapin_24
lion,85.77666768983548,70.45999999999991,0,0,0,0,chasser,24,lion_24
lion,70.82117268983555,58.46000000000007,0,0,0,0,chasser,24,lion_24
lion,74.74872268983543,76.45999999999991,0,0,0,0,chasser,24,lion_24
ours,64.72181268983539,78.45999999999991,0,0,0,0,chasser,24,ours_24
ours,66.85843268983561,84.45999999999991,0,0,0,0,chasser,24,ours_24
lapin,47.9929826898355,71.45999999999991,0,0,0,0,explorer,24,lapin_24
ours,80.82738268983556,89.45999999999991,0,0,0,0,chasser,24,ours_24
lapin,54.995052689835504,80.45999999999991,0,0,0,0,explorer,24,lapin_24
ours,59.77149268983547,62.46000000000007,0,0,0,0,chasser,24,ours_24
lapin,38.99664389513872,97.21999999999996,0,0,0,0,explorer,12,lapin_12
lapin,34.99713889513872,90.21999999999996,0,0,0,0,explorer,12,lapin_12
ours,77.72736389513875,73.21999999999996,0,0,0,0,chasser,12,ours_12
lapin,35.99713889513872,73.21999999999996,0,0,0,0,explorer,12,lapin_12
ours,82.81646389513874,89.21999999999996,0,0,0,0,chasser,12,ours_12
ours,85.85358889513864,67.21999999999996,0,0,0,0,chasser,12,ours_12
lapin,52.99713889513872,100.0,0,0,0,0,explorer,12,lapin_12
lion,98.92338389513876,77.21999999999996,0,0,0,0,chasser,12,lion_12
ours,64.74617389513878,64.21999999999996,0,0,0,0,chasser,12,ours_12
lapin,56.99664389513872,98.21999999999996,0,0,0,0,explorer,12,lapin_12
lapin,58.99713889513872,73.21999999999996,0,0,0,0,explorer,12,lapin_12
lion,69.92090889513875,76.21999999999996,0,0,0,0,chasser,12,lion_12
lapin,46.99664389513872,87.21999999999996,0,0,0,0,explorer,12,lapin_12
lapin,32.99763389513872,78.21999999999996,0,0,0,0,explorer,12,lapin_12
lion,85.91001889513873,56.220000000000034,0,0,0,0,chasser,12,lion_12
lapin,34.99664389513872,73.21999999999996,0,0,0,0,explorer,12,lapin_12
lion,71.91942389513875,74.21999999999996,0,0,0,0,chasser,12,lion_12
lapin,42.99713889513872,99.21999999999996,0,0,0,0,explorer,12,lapin_12
ours,60.712018895138726,66.21999999999996,0,0,0,0,chasser,12,ours_12
ours,88.74567889513878,81.21999999999996,0,0,0,0,chasser,12,ours_12
lapin,40.99713889513872,93.21999999999996,0,0,0,0,explorer,12,lapin_12
lapin,56.99713889513872,74.21999999999996,0,0,0,0,explorer,12,lapin_12
ours,75.90358389513872,75.21999999999996,0,0,0,0,chasser,12,ours_12
lion,74.91645389513874,75.21999999999996,0,0,0,0,chasser,12,lion_12
lion,90.89615889513871,50.220000000000034,0,0,0,0,explorer,12,lion_12
lapin,53.99713889513872,76.21999999999996,0,0,0,0,explorer,12,lapin_12
ours,63.862003895138734,72.21999999999996,0,0,0,0,chasser,12,ours_12
lion,84.91991889513875,73.21999999999996,0,0,0,0,chasser,12,lion_12
lapin,56.99664389513872,72.21999999999996,0,0,0,0,explorer,12,lapin_12
lapin,32.99763389513872,70.21999999999996,0,0,0,0,explorer,12,lapin_12
lion,89.73671758939349,76.4799999999999,0,0,0,0,chasser,25,lion_25
lion,91.81447758939362,63.480000000000075,0,0,0,0,chasser,25,lion_25
lion,83.74967758939351,51.480000000000075,0,0,0,0,chasser,25,lion_25
lion,96.82419758939363,65.4799999999999,0,0,0,0,chasser,25,lion_25
lion,69.82095758939363,52.480000000000075,0,0,0,0,chasser,25,lion_25
lapin,48.992677589393566,92.4799999999999,0,0,0,0,explorer,25,lapin_25
lapin,37.99375758939357,87.4799999999999,0,0,0,0,explorer,25,lapin_25
lion,82.77883758939356,76.4799999999999,0,0,0,0,chasser,25,lion_25
ours,59.5930775893936,90.4799999999999,0,0,0,0,chasser,25,ours_25
ours,85.62547758939365,72.4799999999999,0,0,0,0,chasser,25,ours_25
lion,82.82203758939363,71.4799999999999,0,0,0,0,chasser,25,lion_25
lion,98.81879758939363,77.4799999999999,0,0,0,0,chasser,25,lion_25
ours,74.35115758939355,77.4799999999999,0,0,0,0,chasser,25,ours_25
lion,74.8069175893936,76.4799999999999,0,0,0,0,chasser,25,lion_25
lion,77.72699758939348,52.480000000000075,0,0,0,0,chasser,25,lion_25
lion,99.77451758939355,79.4799999999999,0,0,0,0,chasser,25,lion_25
lion,85.72591758939348,76.4799999999999,0,0,0,0,chasser,25,lion_25
lapin,50.992677589393566,74.4799999999999,0,0,0,0,explorer,25,lapin_25
lion,75.73563758939349,54.480000000000075,0,0,0,0,chasser,25,lion_25
ours,67.64275758939368,90.4799999999999,0,0,0,0,chasser,25,ours_25
lapin,39.992677589393566,80.4799999999999,0,0,0,0,explorer,25,lapin_25
lion,85.76695758939354,70.4799999999999,0,0,0,0,chasser,25,lion_25
lion,70.81339758939362,58.480000000000075,0,0,0,0,chasser,25,lion_25
lion,74.7377975893935,76.4799999999999,0,0,0,0,chasser,25,lion_25
ours,64.70971758939345,78.4799999999999,0,0,0,0,chasser,25,ours_25
ours,66.85227758939368,84.4799999999999,0,0,0,0,chasser,25,ours_25
lapin,47.992677589393566,71.4799999999999,0,0,0,0,explorer,25,lapin_25
ours,80.81987758939363,89.4799999999999,0,0,0,0,chasser,25,ours_25
lapin,54.99483758939357,80.4799999999999,0,0,0,0,explorer,25,lapin_25
ours,59.76155758939353,62.480000000000075,0,0,0,0,chasser,25,ours_25
lapin,38.99633879469678,97.23999999999995,0,0,0,0,explorer,13,lapin_13
lapin,34.996878794696784,90.23999999999995,0,0,0,0,explorer,13,lapin_13
ours,77.70257879469682,73.23999999999995,0,0,0,0,chasser,13,ours_13
lapin,35.996878794696784,73.23999999999995,0,0,0,0,explorer,13,lapin_13
ours,82.7997787946968,89.23999999999995,0,0,0,0,chasser,13,ours_13
ours,85.8402787946967,67.23999999999995,0,0,0,0,chasser,13,ours_13
lapin,52.996878794696784,100.0,0,0,0,0,explorer,13,lapin_13
lion,98.91641879469682,77.23999999999995,0,0,0,0,chasser,13,lion_13
ours,64.72309879469685,64.23999999999995,0,0,0,0,chasser,13,ours_13
lapin,56.99633879469678,98.23999999999995,0,0,0,0,explorer,13,lapin_13
lapin,58.996878794696784,73.23999999999995,0,0,0,0,explorer,13,lapin_13
lion,69.91371879469682,76.23999999999995,0,0,0,0,chasser,13,lion_13
lapin,46.99633879469678,87.23999999999995,0,0,0,0,explorer,13,lapin_13
lapin,32.997418794696785,78.23999999999995,0,0,0,0,explorer,13,lapin_13
lion,85.9018387946968,56.24000000000004,0,0,0,0,chasser,13,lion_13
lapin,34.99633879469678,73.23999999999995,0,0,0,0,explorer,13,lapin_13
lion,71.91209879469682,74.23999999999995,0,0,0,0,chasser,13,lion_13
lapin,42.996878794696784,99.23999999999995,0,0,0,0,explorer,13,lapin_13
ours,60.68583879469679,66.23999999999995,0,0,0,0,chasser,13,ours_13
ours,88.72255879469685,81.23999999999995,0,0,0,0,chasser,13,ours_13
lapin,40.996878794696784,93.23999999999995,0,0,0,0,explorer,13,lapin_13
lapin,56.996878794696784,74.23999999999995,0,0,0,0,explorer,13,lapin_13
ours,75.89481879469679,75.23999999999995,0,0,0,0,chasser,13,ours_13
lion,74.90885879469681,75.23999999999995,0,0,0,0,chasser,13,lion_13
lion,90.88671879469678,50.24000000000004,0,0,0,0,explorer,13,lion_13
lapin,53.996878794696784,76.23999999999995,0,0,0,0,explorer,13,lapin_13
ours,63.8494587946968,72.23999999999995,0,0,0,0,chasser,13,ours_13
lion,84.91263879469682,73.23999999999995,0,0,0,0,chasser,13,lion_13
lapin,56.99633879469678,72.23999999999995,0,0,0,0,explorer,13,lapin_13
lapin,32.997418794696785,70.23999999999995,0,0,0,0,explorer,13,lapin_13
lion,89.72574748895155,76.4999999999999,0,0,0,0,chasser,26,lion_26
lion,91.80674748895169,63.50000000000008,0,0,0,0,chasser,26,lion_26
lion,83.73924748895158,51.50000000000008,0,0,0,0,chasser,26,lion_26
lion,96.8168724889517,65.4999999999999,0,0,0,0,chasser,26,lion_26
lion,69.8134974889517,52.50000000000008,0,0,0,0,chasser,26,lion_26
lapin,48.99237248895163,92.4999999999999,0,0,0,0,explorer,26,lapin_26
lapin,37.99349748895163,87.4999999999999,0,0,0,0,explorer,26,lapin_26
lion,82.76962248895163,76.4999999999999,0,0,0,0,chasser,26,lion_26
ours,59.57612248895167,90.4999999999999,0,0,0,0,chasser,26,ours_26
ours,85.60987248895172,72.4999999999999,0,0,0,0,chasser,26,ours_26
lion,82.8146224889517,71.4999999999999,0,0,0,0,chasser,26,lion_26
lion,98.8112474889517,77.4999999999999,0,0,0,0,chasser,26,lion_26
ours,74.32412248895162,77.4999999999999,0,0,0,0,chasser,26,ours_26
lion,74.79887248895167,76.4999999999999,0,0,0,0,chasser,26,lion_26
lion,77.71562248895154,52.50000000000008,0,0,0,0,chasser,26,lion_26
lion,99.76512248895162,79.4999999999999,0,0,0,0,chasser,26,lion_26
lion,85.71449748895154,76.4999999999999,0,0,0,0,chasser,26,lion_26
lapin,50.99237248895163,74.4999999999999,0,0,0,0,explorer,26,lapin_26
lion,75.72462248895155,54.50000000000008,0,0,0,0,chasser,26,lion_26
ours,67.62787248895175,90.4999999999999,0,0,0,0,chasser,26,ours_26
lapin,39.99237248895163,80.4999999999999,0,0,0,0,explorer,26,lapin_26
lion,85.7572474889516,70.4999999999999,0,0,0,0,chasser,26,lion_26
lion,70.80562248895168,58.50000000000008,0,0,0,0,chasser,26,lion_26
lion,74.72687248895156,76.4999999999999,0,0,0,0,chasser,26,lion_26
ours,64.69762248895151,78.4999999999999,0,0,0,0,chasser,26,ours_26
ours,66.84612248895175,84.4999999999999,0,0,0,0,chasser,26,ours_26
lapin,47.99237248895163,71.4999999999999,0,0,0,0,explorer,26,lapin_26
ours,80.8123724889517,89.4999999999999,0,0,0,0,chasser,26,ours_26
lapin,54.994622488951634,80.4999999999999,0,0,0,0,explorer,26,lapin_26
ours,59.7516224889516,62.50000000000008,0,0,0,0,chasser,26,ours_26
lapin,38.99603369425485,97.25999999999995,0,0,0,0,explorer,14,lapin_14
lapin,34.99661869425485,90.25999999999995,0,0,0,0,explorer,14,lapin_14
ours,77.67779369425489,73.25999999999995,0,0,0,0,chasser,14,ours_14
lapin,35.99661869425485,73.25999999999995,0,0,0,0,explorer,14,lapin_14
ours,82.78309369425487,89.25999999999995,0,0,0,0,chasser,14,ours_14
ours,85.82696869425476,67.25999999999995,0,0,0,0,chasser,14,ours_14
lapin,52.99661869425485,100.0,0,0,0,0,explorer,14,lapin_14
lion,98.90945369425489,77.25999999999995,0,0,0,0,chasser,14,lion_14
ours,64.70002369425492,64.25999999999995,0,0,0,0,chasser,14,ours_14
lapin,56.99603369425485,98.25999999999995,0,0,0,0,explorer,14,lapin_14
lapin,58.99661869425485,73.25999999999995,0,0,0,0,explorer,14,lapin_14
lion,69.90652869425489,76.25999999999995,0,0,0,0,chasser,14,lion_14
lapin,46.99603369425485,87.25999999999995,0,0,0,0,explorer,14,lapin_14
lapin,32.99720369425485,78.25999999999995,0,0,0,0,explorer,14,lapin_14
lion,85.89365869425487,56.26000000000004,0,0,0,0,chasser,14,lion_14
lapin,34.99603369425485,73.25999999999995,0,0,0,0,explorer,14,lapin_14
lion,71.90477369425489,74.25999999999995,0,0,0,0,chasser,14,lion_14
lapin,42.99661869425485,99.25999999999995,0,0,0,0,explorer,14,lapin_14
ours,60.65965869425486,66.25999999999995,0,0,0,0,chasser,14,ours_14
ours,88.69943869425492,81.25999999999995,0,0,0,0,chasser,14,ours_14
lapin,40.99661869425485,93.25999999999995,0,0,0,0,explorer,14,lapin_14
lapin,56.99661869425485,74.25999999999995,0,0,0,0,explorer,14,lapin_14
ours,75.88605369425485,75.25999999999995,0,0,0,0,chasser,14,ours_14
lion,74.90126369425488,75.25999999999995,0,0,0,0,chasser,14,lion_14
lion,90.87727869425484,50.26000000000004,0,0,0,0,explorer,14,lion_14
lapin,53.99661869425485,76.25999999999995,0,0,0,0,explorer,14,lapin_14
ours,63.83691369425487,72.25999999999995,0,0,0,0,chasser,14,ours_14
lion,84.90535869425489,73.25999999999995,0,0,0,0,chasser,14,lion_14
lapin,56.99603369425485,72.25999999999995,0,0,0,0,explorer,14,lapin_14
lapin,32.99720369425485,70.25999999999995,0,0,0,0,explorer,14,lapin_14
lion,89.71477738850962,76.5199999999999,0,0,0,0,chasser,27,lion_27
lion,91.79901738850975,63.52000000000008,0,0,0,0,chasser,27,lion_27
lion,83.72881738850964,51.52000000000008,0,0,0,0,chasser,27,lion_27
lion,96.80954738850977,65.5199999999999,0,0,0,0,chasser,27,lion_27
lion,69.80603738850976,52.52000000000008,0,0,0,0,chasser,27,lion_27
lapin,48.992067388509696,92.5199999999999,0,0,0,0,explorer,27,lapin_27
lapin,37.9932373885097,87.5199999999999,0,0,0,0,explorer,27,lapin_27
lion,82.76040738850969,76.5199999999999,0,0,0,0,chasser,27,lion_27
ours,59.559167388509735,90.5199999999999,0,0,0,0,chasser,27,ours_27
ours,85.59426738850979,72.5199999999999,0,0,0,0,chasser,27,ours_27
lion,82.80720738850977,71.5199999999999,0,0,0,0,chasser,27,lion_27
lion,98.80369738850976,77.5199999999999,0,0,0,0,chasser,27,lion_27
ours,74.29708738850968,77.5199999999999,0,0,0,0,chasser,27,ours_27
lion,74.79082738850974,76.5199999999999,0,0,0,0,chasser,27,lion_27
lion,77.7042473885096,52.52000000000008,0,0,0,0,chasser,27,lion_27
lion,99.75572738850968,79.5199999999999,0,0,0,0,chasser,27,lion_27
lion,85.7030773885096,76.5199999999999,0,0,0,0,chasser,27,lion_27
lapin,50.992067388509696,74.5199999999999,0,0,0,0,explorer,27,lapin_27
lion,75.71360738850962,54.52000000000008,0,0,0,0,chasser,27,lion_27
ours,67.61298738850982,90.5199999999999,0,0,0,0,chasser,27,ours_27
lapin,39.992067388509696,80.5199999999999,0,0,0,0,explorer,27,lapin_27
lion,85.74753738850967,70.5199999999999,0,0,0,0,chasser,27,lion_27
lion,70.79784738850975,58.52000000000008,0,0,0,0,chasser,27,lion_27
lion,74.71594738850962,76.5199999999999,0,0,0,0,chasser,27,lion_27
ours,64.68552738850957,78.5199999999999,0,0,0,0,chasser,27,ours_27
ours,66.83996738850982,84.5199999999999,0,0,0,0,chasser,27,ours_27
lapin,47.992067388509696,71.5199999999999,0,0,0,0,explorer,27,lapin_27
ours,80.80486738850976,89.5199999999999,0,0,0,0,chasser,27,ours_27
lapin,54.9944073885097,80.5199999999999,0,0,0,0,explorer,27,lapin_27
ours,59.74168738850966,62.52000000000008,0,0,0,0,chasser,27,ours_27
lapin,38.99572859381291,97.27999999999994,0,0,0,0,explorer,15,lapin_15
lapin,34.996358593812914,90.27999999999994,0,0,0,0,explorer,15,lapin_15
ours,77.65300859381296,73.27999999999994,0,0,0,0,chasser,15,ours_15
lapin,35.996358593812914,73.27999999999994,0,0,0,0,explorer,15,lapin_15
ours,82.76640859381294,89.27999999999994,0,0,0,0,chasser,15,ours_15
ours,85.81365859381282,67.27999999999994,0,0,0,0,chasser,15,ours_15
lapin,52.996358593812914,100.0,0,0,0,0,explorer,15,lapin_15
lion,98.90248859381296,77.27999999999994,0,0,0,0,chasser,15,lion_15
ours,64.676948593813,64.27999999999994,0,0,0,0,chasser,15,ours_15
lapin,56.99572859381291,98.27999999999994,0,0,0,0,explorer,15,lapin_15
lapin,58.996358593812914,73.27999999999994,0,0,0,0,explorer,15,lapin_15
lion,69.89933859381296,76.27999999999994,0,0,0,0,chasser,15,lion_15
lapin,46.99572859381291,87.27999999999994,0,0,0,0,explorer,15,lapin_15
lapin,32.996988593812915,78.27999999999994,0,0,0,0,explorer,15,lapin_15
lion,85.88547859381293,56.280000000000044,0,0,0,0,chasser,15,lion_15
lapin,34.99572859381291,73.27999999999994,0,0,0,0,explorer,15,lapin_15
lion,71.89744859381295,74.27999999999994,0,0,0,0,chasser,15,lion_15
lapin,42.996358593812914,99.27999999999994,0,0,0,0,explorer,15,lapin_15
ours,60.633478593812924,66.27999999999994,0,0,0,0,chasser,15,ours_15
ours,88.676318593813,81.27999999999994,0,0,0,0,chasser,15,ours_15
lapin,40.996358593812914,93.27999999999994,0,0,0,0,explorer,15,lapin_15
lapin,56.996358593812914,74.27999999999994,0,0,0,0,explorer,15,lapin_15
ours,75.87728859381292,75.27999999999994,0,0,0,0,chasser,15,ours_15
lion,74.89366859381295,75.27999999999994,0,0,0,0,chasser,15,lion_15
lion,90.8678385938129,50.280000000000044,0,0,0,0,explorer,15,lion_15
lapin,53.996358593812914,76.27999999999994,0,0,0,0,explorer,15,lapin_15
ours,63.824368593812935,72.27999999999994,0,0,0,0,chasser,15,ours_15
lion,84.89807859381295,73.27999999999994,0,0,0,0,chasser,15,lion_15
lapin,56.99572859381291,72.27999999999994,0,0,0,0,explorer,15,lapin_15
lapin,32.996988593812915,70.27999999999994,0,0,0,0,explorer,15,lapin_15
lion,89.70380728806768,76.53999999999989,0,0,0,0,chasser,28,lion_28
lion,91.79128728806782,63.540000000000084,0,0,0,0,chasser,28,lion_28
lion,83.7183872880677,51.540000000000084,0,0,0,0,chasser,28,lion_28
lion,96.80222228806784,65.53999999999989,0,0,0,0,chasser,28,lion_28
lion,69.79857728806783,52.540000000000084,0,0,0,0,chasser,28,lion_28
